row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url
90,Eye of the Needle,Ken Follett,1978,Fanaa,2006,2005_2009,Historical_Biography,medium,"Eye of the Needle (1978), Ken Follett",Fanaa (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
91,Bless the Child,Cathy Cash Spellman,1993,Bless the Child,2000,2000_2004,Family_Children_YA,medium,"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
92,Bridge to Terabithia,Katherine Paterson,1977,Bridge to Terabithia,2007,2005_2009,Family_Children_YA,medium,"Bridge to Terabithia (1977), Katherine Paterson",Bridge to Terabithia (2007),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
93,Avalon High,Meg Cabot,2005,Avalon High,2010,2010_2014,Family_Children_YA,medium,"Avalon High (2005), Meg Cabot",Avalon High (2010),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
94,The BFG,Roald Dahl,1982,The BFG,2016,2015_2019,Family_Children_YA,medium,"The BFG (1982), Roald Dahl",The BFG (2016),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
95,Charlie and the Chocolate Factory,Roald Dahl,1964,Wonka,2023,2020_2024,Family_Children_YA,medium,"Charlie and the Chocolate Factory (1964), Roald Dahl",Wonka (2023),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
96,Wonder Boys,Michael Chabon,1995,Wonder Boys,2000,2000_2004,Family_Children_YA,medium,"Wonder Boys (1995), Michael Chabon",Wonder Boys (2000),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
97,Charlotte's Web,E. B. White,1952,Charlotte's Web,2006,2005_2009,Family_Children_YA,medium,"Charlotte's Web (1952), E. B. White",Charlotte's Web (2006),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
98,Nineteen Eighty-Four,George Orwell,1949,1984,2023,2020_2024,Family_Children_YA,medium,"Nineteen Eighty-Four (1949), George Orwell",1984 (2023),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
99,The Children of Men,P. D. James,1992,Children of Men,2006,2005_2009,Family_Children_YA,medium,"The Children of Men (1992), P. D. James",Children of Men (2006),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
100,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio: A True Story,2022,2020_2024,Family_Children_YA,medium,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio: A True Story (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
101,Battle Royale,Koushun Takami,1999,Battle Royale,2000,2000_2004,Action_Adventure,medium,"Battle Royale (バトル・ロワイアル, Batoru Rowaiaru) (1999), Koushun Takami",Battle Royale (2000),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
102,Derailed,James Siegel,2003,Derailed,2005,2005_2009,Action_Adventure,medium,"Derailed (2003), James Siegel",Derailed (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
103,Headhunters,Jules Bass,2001,Monte Carlo,2011,2010_2014,Action_Adventure,medium,"Headhunters (2001), Jules Bass",Monte Carlo (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
104,Starship Troopers,Robert A. Heinlein,1959,Starship Troopers: Traitor of Mars,2017,2015_2019,Action_Adventure,medium,"Starship Troopers (1959), Robert A. Heinlein",Starship Troopers: Traitor of Mars (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
105,Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,2021,2020_2024,Action_Adventure,medium,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (2021),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
106,Battlefield Earth,L. Ron Hubbard,1982,Battlefield Earth,2000,2000_2004,Action_Adventure,medium,"Battlefield Earth (1982), L. Ron Hubbard",Battlefield Earth (2000),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
107,Journey to the Center of the Earth,Jules Verne,1864,Journey to the Center of the Earth,2008,2005_2009,Action_Adventure,medium,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",Journey to the Center of the Earth (2008),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
108,On Stranger Tides,Tim Powers,1987,Pirates of the Caribbean: On Stranger Tides,2011,2010_2014,Action_Adventure,medium,"On Stranger Tides (1987), Tim Powers",Pirates of the Caribbean: On Stranger Tides (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
109,The Adventures of Tom Sawyer,Mark Twain,1876,Band of Robbers,2015,2015_2019,Action_Adventure,medium,"The Adventures of Tom Sawyer (1876), Mark Twain",Band of Robbers (2015),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
110,King Solomon's Mines,Sir H. Rider Haggard,1885,Allan Quatermain and the Spear of Destiny,2023,2020_2024,Action_Adventure,medium,"King Solomon's Mines (1885), Sir H. Rider Haggard",Allan Quatermain and the Spear of Destiny (2023),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
111,Buffalo Soldiers,Robert O'Connor,1993,Buffalo Soldiers,2003,2000_2004,Action_Adventure,medium,"Buffalo Soldiers (1993), Robert O'Connor",Buffalo Soldiers (2003),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
112,Sahara,Clive Cussler,1992,Sahara,2005,2005_2009,Action_Adventure,medium,"Sahara (1992), Clive Cussler",Sahara (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
113,Shutter Island,Dennis Lehane,2003,Shutter Island,2010,2010_2014,Action_Adventure,medium,"Shutter Island (2003), Dennis Lehane",Shutter Island (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
114,The Jungle Books,Rudyard Kipling,1894,Mowgli: Legend of the Jungle,2018,2015_2019,Action_Adventure,medium,"The Jungle Books (1894–1895), Rudyard Kipling",Mowgli: Legend of the Jungle (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
115,The Call of the Wild,Jack London,1903,The Call of the Wild,2020,2020_2024,Action_Adventure,medium,"The Call of the Wild (1903), Jack London",The Call of the Wild (2020),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
116,About a Boy,Nick Hornby,1998,About a Boy,2002,2000_2004,Comedy_Satire,medium,"About a Boy (1998), Nick Hornby",About a Boy (2002),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
117,A Room with a View,E. M. Forster,1908,A Room with a View,2007,2005_2009,Comedy_Satire,medium,"A Room with a View (1908), E. M. Forster",A Room with a View (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
118,Girl with a Pearl Earring,Tracy Chevalier,1999,Girl with a Pearl Earring,2003,2000_2004,Comedy_Satire,medium,"Girl with a Pearl Earring (1999), Tracy Chevalier",Girl with a Pearl Earring (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
119,Breakfast with Scot,Michael Downing,1999,Breakfast with Scot,2007,2005_2009,Comedy_Satire,medium,"Breakfast with Scot (1999), Michael Downing",Breakfast with Scot (2007),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
120,High Fidelity,Nick Hornby,1995,High Fidelity,2000,2000_2004,Comedy_Satire,medium,"High Fidelity (1995), Nick Hornby",High Fidelity (2000),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
121,It,Stephen King,1986,It Chapter Two,2019,2015_2019,Horror,medium,"It (1986), Stephen King",It Chapter Two (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
122,The Unknown Soldier,Väinö Linna,1954,The Unknown Soldier,2017,2015_2019,Action_Adventure,medium,"The Unknown Soldier (Finnish: Tuntematon sotilas) (1954), Väinö Linna",The Unknown Soldier (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
123,Call Me By Your Name,André Aciman,2007,Call Me By Your Name,2017,2015_2019,Drama_Literary,medium,"Call Me By Your Name (2007), André Aciman",Call Me By Your Name (2017),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
124,Death Wish,Brian Garfield,1972,Death Wish,2018,2015_2019,Drama_Literary,medium,"Death Wish (1972), Brian Garfield",Death Wish (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
125,Devdas,Sarat Chandra Chattopadhyay,1917,Daas Dev,2018,2015_2019,Drama_Literary,medium,"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay",Daas Dev (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
126,Diner,Yumeaki Hirayama,2009,Diner,2019,2015_2019,Drama_Literary,medium,"Diner (ダイナー) (2009), Yumeaki Hirayama",Diner (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
127,Far from the Madding Crowd,Thomas Hardy,1874,Far from the Madding Crowd,2015,2015_2019,Drama_Literary,medium,"Far from the Madding Crowd (1874), Thomas Hardy",Far from the Madding Crowd (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
128,First Blood,David Morrell,1972,Rambo: Last Blood,2019,2015_2019,Drama_Literary,medium,"First Blood (1972), David Morrell",Rambo: Last Blood (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
129,Freaky Friday,Mary Rodgers,1972,Freaky Friday,2018,2015_2019,Drama_Literary,medium,"Freaky Friday (1972), Mary Rodgers",Freaky Friday (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
130,Golden Slumber,Kōtarō Isaka,2007,Golden Slumber,2018,2015_2019,Drama_Literary,medium,"Golden Slumber (ゴールデンスランバー, Gōruden Surambā) (2007), Kōtarō Isaka",Golden Slumber (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
131,Great Expectations,Charles Dickens,1860,Fitoor,2016,2015_2019,Drama_Literary,medium,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",Fitoor (2016),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
132,I Want to Eat Your Pancreas,Yoru Sumino,2014,I Want to Eat Your Pancreas,2018,2015_2019,Drama_Literary,medium,"I Want to Eat Your Pancreas (君の膵臓をたべたい, Kimi no Suizō o Tabetai) (2014), Yoru Sumino",I Want to Eat Your Pancreas (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
133,Joker Game,Koji Yanagi,2008,Joker Game,2015,2015_2019,Drama_Literary,medium,"Joker Game (ジョーカー・ゲーム, Jōkā Gēmu) (2008), Koji Yanagi",Joker Game (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
134,Lisa and Lottie,Erich Kästner,1949,Das doppelte Lottchen,2017,2015_2019,Drama_Literary,medium,"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner",Das doppelte Lottchen (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
135,Me and Earl and the Dying Girl,Jesse Andrews,2012,Me and Earl and the Dying Girl,2015,2015_2019,Drama_Literary,medium,"Me and Earl and the Dying Girl (2012), Jesse Andrews",Me and Earl and the Dying Girl (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
136,Porno,Irvine Welsh,2002,T2 Trainspotting,2017,2015_2019,Drama_Literary,medium,"Porno (2002), Irvine Welsh",T2 Trainspotting (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
137,Shaft,Ernest Tidyman,1970,Shaft,2019,2015_2019,Drama_Literary,medium,"Shaft (1970), Ernest Tidyman",Shaft (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
138,The Bad Seed,William March,1954,The Bad Seed,2018,2015_2019,Drama_Literary,medium,"The Bad Seed (1954), William March",The Bad Seed (2018),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
139,The Christmas Note,Donna VanLiere,2011,The Christmas Note,2015,2015_2019,Drama_Literary,medium,"The Christmas Note (2011), Donna VanLiere",The Christmas Note (2015),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
140,The Earthquake Bird,Susanna Jones,2001,Earthquake Bird,2019,2015_2019,Drama_Literary,medium,"The Earthquake Bird (2001), Susanna Jones",Earthquake Bird (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
141,The Girl in the Spider's Web,David Lagercrantz,2015,The Girl in the Spider's Web,2018,2015_2019,Drama_Literary,medium,"The Girl in the Spider's Web (2015), David Lagercrantz",The Girl in the Spider's Web (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
142,The Go-Between,L. P. Hartley,1953,The Go-Between,2015,2015_2019,Drama_Literary,medium,"The Go-Between (1953), L. P. Hartley",The Go-Between (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
143,The Martian,Andy Weir,2011,The Martian,2015,2015_2019,Drama_Literary,medium,"The Martian (2011), Andy Weir",The Martian (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
144,These Foolish Things,Deborah Moggach,2004,The Second Best Exotic Marigold Hotel,2015,2015_2019,Drama_Literary,medium,"These Foolish Things (2004), Deborah Moggach",The Second Best Exotic Marigold Hotel (2015),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
145,Trainspotting,Irvine Welsh,1993,T2 Trainspotting,2017,2015_2019,Drama_Literary,medium,"Trainspotting (1993), Irvine Welsh",T2 Trainspotting (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
146,Verses of Love,Habiburrahman El Shirazy,2003,Verses of Love 2,2017,2015_2019,Drama_Literary,medium,"Verses of Love (Indonesian: Ayat-Ayat Cinta) (2003), Habiburrahman El Shirazy",Verses of Love 2 (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
147,Les Misérables,Victor Hugo,1862,Les Misérables,2019,2015_2019,Drama_Literary,medium,"Les Misérables (1862), Victor Hugo",Les Misérables (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
148,Romance of the Three Kingdoms,Luo Guanzhong,,Dynasty Warriors (真·三国无双; Zhēn Sān Guó Wú Shuāng),2021,2020_2024,Historical_Biography,medium,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Dynasty Warriors (真·三国无双; Zhēn Sān Guó Wú Shuāng) (2021),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
149,Nightmare Alley,William Lindsay Gresham,1946,Nightmare Alley,2021,2020_2024,Horror,medium,"Nightmare Alley (1946), William Lindsay Gresham",Nightmare Alley (2021),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
150,Pet Sematary,Stephen King,1983,Pet Sematary: Bloodlines,2023,2020_2024,Horror,medium,"Pet Sematary (1983), Stephen King",Pet Sematary: Bloodlines (2023),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
151,'Salem's Lot,Stephen King,1975,'Salem's Lot,2024,2020_2024,Horror,medium,"'Salem's Lot (1975), Stephen King",'Salem's Lot (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
152,The Devil All the Time,Donald Ray Pollock,2011,The Devil All the Time,2020,2020_2024,Horror,medium,"The Devil All the Time (2011), Donald Ray Pollock",The Devil All the Time (2020),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
153,The Exorcist,William Peter Blatty,1971,The Exorcist: Believer,2023,2020_2024,Horror,medium,"The Exorcist (1971), William Peter Blatty",The Exorcist: Believer (2023),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
154,The Witches,Roald Dahl,1983,The Witches,2020,2020_2024,Horror,medium,"The Witches (1983), Roald Dahl",The Witches (2020),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
155,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,Wicked,2024,2020_2024,Horror,medium,"Wicked: The Life and Times of the Wicked Witch of the West (1995), Gregory Maguire",Wicked (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
156,After We Collided,Anna Todd,2014,After We Collided,2020,2020_2024,Romance,medium,"After We Collided (2014), Anna Todd",After We Collided (2020),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
157,After We Fell,Anna Todd,2014,After We Fell,2021,2020_2024,Romance,medium,"After We Fell (2014), Anna Todd",After We Fell (2021),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
158,It Ends with Us,Colleen Hoover,2016,It Ends with Us,2024,2020_2024,Romance,medium,"It Ends with Us (2016), Colleen Hoover",It Ends with Us (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
159,Black Beauty,Anna Sewell,1877,Black Beauty,2020,2020_2024,Drama_Literary,medium,"Black Beauty (1877), Anna Sewell",Black Beauty (2020),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
160,Bonjour Tristesse,Françoise Sagan,1954,Bonjour Tristesse,2024,2020_2024,Drama_Literary,medium,"Bonjour Tristesse (Hello Sadness) (1954), Françoise Sagan",Bonjour Tristesse (2024),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
161,Deep Water,Patricia Highsmith,1957,Deep Water,2022,2020_2024,Drama_Literary,medium,"Deep Water (1957), Patricia Highsmith",Deep Water (2022),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
162,Fletch,Gregory Mcdonald,1974,"Confess, Fletch",2022,2020_2024,Drama_Literary,medium,"Fletch (1974), Gregory Mcdonald","Confess, Fletch (2022)",https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
163,"Good Morning, Midnight",Lily Brooks-Dalton,2016,The Midnight Sky,2020,2020_2024,Drama_Literary,medium,"Good Morning, Midnight (2016), Lily Brooks-Dalton",The Midnight Sky (2020),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
164,I'm Thinking of Ending Things,Iain Reid,2016,I'm Thinking of Ending Things,2020,2020_2024,Drama_Literary,medium,"I'm Thinking of Ending Things (2016), Iain Reid",I'm Thinking of Ending Things (2020),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
165,True Grit,Charles Portis,1968,True Grit,2010,2010_2014,Horror,medium,"True Grit (1968), Charles Portis",True Grit (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
166,The Lucky One,Nicholas Sparks,2008,The Lucky One,2012,2010_2014,Romance,medium,"The Lucky One (2008), Nicholas Sparks",The Lucky One (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
167,The Mysterious Island,Jules Verne,1874,Journey 2: The Mysterious Island,2012,2010_2014,Action_Adventure,medium,"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne",Journey 2: The Mysterious Island (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
168,The Pirates! in an Adventure with Scientists,Gideon Defoe,2004,The Pirates! In an Adventure with Scientists,2012,2010_2014,Action_Adventure,medium,"The Pirates! in an Adventure with Scientists (2004), Gideon Defoe",The Pirates! In an Adventure with Scientists (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
169,The Siege of Trencher's Farm,Gordon Williams,1969,Straw Dogs,2011,2010_2014,Action_Adventure,medium,"The Siege of Trencher's Farm (1969), Gordon Williams",Straw Dogs (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
170,The Host,Stephenie Meyer,2008,The Host,2013,2010_2014,Fantasy_SciFi,medium,"The Host (2008), Stephenie Meyer",The Host (2013),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
171,The Mortal Instruments – Book One: City of Bones,Cassandra Clare,2007,The Mortal Instruments: City of Bones,2013,2010_2014,Fantasy_SciFi,medium,"The Mortal Instruments – Book One: City of Bones (2007), Cassandra Clare",The Mortal Instruments: City of Bones (2013),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
172,Detective in the Bar,Naomi Azuma,1981,"Detective in the Bar (探偵はBARにいる, Tantei wa bar ni iru)",2011,2010_2014,Thriller_Mystery_Crime,medium,"Detective in the Bar (探偵はバーにいる, Bar ni Kakatte Kita Denwa) (1981), Naomi Azuma","Detective in the Bar (探偵はBARにいる, Tantei wa bar ni iru) (2011)",https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
173,"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder",Evelyn Waugh,1945,Brideshead Revisited,2008,2005_2009,Comedy_Satire,medium,"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder (1945), Evelyn Waugh",Brideshead Revisited (2008),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
174,Dinner with a Perfect Stranger: An Invitation Worth Considering,David Gregory,2005,The Perfect Gift,2009,2005_2009,Comedy_Satire,medium,"Dinner with a Perfect Stranger: An Invitation Worth Considering (2005), David Gregory",The Perfect Gift (2009),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
175,Fever Pitch,Nick Hornby,1992,Fever Pitch,2005,2005_2009,Comedy_Satire,medium,"Fever Pitch (1992), Nick Hornby",Fever Pitch (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
176,Header,Edward Lee,1995,Header,2006,2005_2009,Historical_Biography,medium,"Header (1995), Edward Lee",Header (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
177,Odyssey,Homer,,Odysseus and the Isle of the Mists,2007,2005_2009,Historical_Biography,medium,"Odyssey (8th century BC), Homer",Odysseus and the Isle of the Mists (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
178,Snow Angels,Stewart O'Nan,1994,Snow Angels,2007,2005_2009,Historical_Biography,medium,"Snow Angels (1994), Stewart O'Nan",Snow Angels (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
179,The Other Boleyn Girl,Philippa Gregory,2001,The Other Boleyn Girl,2008,2005_2009,Historical_Biography,medium,"The Other Boleyn Girl (2001), Philippa Gregory",The Other Boleyn Girl (2008),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
180,The Devil Wears Prada,Lauren Weisberger,2003,The Devil Wears Prada,2006,2005_2009,Horror,medium,"The Devil Wears Prada (2003), Lauren Weisberger",The Devil Wears Prada (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
181,The Secret Dreamworld of a Shopaholic,Madeline Wickham (as Sophie Kinsella),2003,Confessions of a Shopaholic,2009,2005_2009,Romance,medium,"The Secret Dreamworld of a Shopaholic (2003), Madeline Wickham (as Sophie Kinsella)",Confessions of a Shopaholic (2009),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
182,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Suburban Girl,2008,2005_2009,Action_Adventure,medium,"The Girls' Guide to Hunting and Fishing (2000), Melissa Bank",Suburban Girl (2008),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
183,The Lost World,Arthur Conan Doyle,1912,King of the Lost World,2005,2005_2009,Action_Adventure,medium,"The Lost World (1912), Arthur Conan Doyle",King of the Lost World (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
184,The Picture of Dorian Gray,Oscar Wilde,1890,The Picture (of Dorian Gray),2009,2005_2009,Action_Adventure,medium,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture (of Dorian Gray) (2009),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
185,The Poseidon Adventure,Paul Gallico,1972,Poseidon,2006,2005_2009,Action_Adventure,medium,"The Poseidon Adventure (1972), Paul Gallico",Poseidon (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
186,Treasure Island,Robert Louis Stevenson,1883,Pirates of Treasure Island,2006,2005_2009,Action_Adventure,medium,"Treasure Island (1883), Robert Louis Stevenson",Pirates of Treasure Island (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
187,Stardust,Neil Gaiman,1999,Stardust,2007,2005_2009,Fantasy_SciFi,medium,"Stardust (1999), Neil Gaiman",Stardust (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
