"primaryTitle","startYear","domestic_gross","averageRating","numVotes","runtimeMinutes","genres","is_book"
"The Hobbit: An Unexpected Journey",2012,303003568,7.8,926093,"169","Adventure,Fantasy",0
"Harry Potter and the Half-Blood Prince",2009,302089278,7.6,658348,"153","Action,Adventure,Family",0
"The Twilight Saga: Eclipse",2010,300531751,5.1,281049,"124","Action,Adventure,Drama",0
"The Twilight Saga: New Moon",2009,296623634,4.8,321607,"130","Adventure,Drama,Fantasy",0
"The Sixth Sense",1999,293506292,8.2,1141740,"107","Drama,Mystery,Thriller",0
"Up",2009,293004164,8.3,1232509,"96","Adventure,Animation,Comedy",0
"Inception",2010,292576195,8.8,2807875,"148","Action,Adventure,Sci-Fi",0
"Harry Potter and the Order of the Phoenix",2007,292137260,7.5,698293,"138","Action,Adventure,Family",0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,291710957,6.9,457173,"143","Adventure,Family,Fantasy",0
"Man of Steel",2013,291045518,7.1,865340,"143","Action,Adventure,Sci-Fi",0
"Harry Potter and the Goblet of Fire",2005,290201752,7.7,751048,"157","Adventure,Family,Fantasy",0
"Monsters, Inc.",2001,289916256,8.1,1072282,"92","Adventure,Animation,Comedy",0
"Home Alone",1990,285761243,7.8,742536,"103","Comedy,Family",0
"The Hunger Games: Mockingjay - Part 2",2015,281723902,6.6,412870,"137","Action,Adventure,Sci-Fi",0
"The Matrix Reloaded",2003,281576461,7.2,669238,"138","Action,Sci-Fi",0
"Meet the Fockers",2004,279261160,6.4,301811,"115","Comedy,Romance",0
"The Hangover",2009,277322503,7.7,927211,"100","Comedy",0
"Gravity",2013,274092705,7.7,898722,"91","Drama,Sci-Fi,Thriller",0
"Sing",2016,270395425,7.1,212087,"108","Animation,Comedy,Family",0
"Monsters University",2013,268492764,7.2,423717,"104","Adventure,Animation,Comedy",0
"Shrek",2001,267665011,7.9,808522,"90","Adventure,Animation,Comedy",0
"Despicable Me 3",2017,264624300,6.3,180247,"89","Adventure,Animation,Comedy",0
"Harry Potter and the Chamber of Secrets",2002,262233983,7.5,764591,"161","Adventure,Family,Fantasy",0
"The Amazing Spider-Man",2012,262030663,6.9,763160,"136","Action,Sci-Fi",0
"The Incredibles",2004,261441092,8,898119,"115","Action,Adventure,Animation",0
"How the Grinch Stole Christmas",2000,260044825,6.4,332690,"104","Comedy,Family,Fantasy",0
"Jaws",1975,2.6e+08,8.1,735346,"124","Adventure,Drama,Horror",0
"Captain America: The Winter Soldier",2014,259766572,7.7,969473,"136","Action,Adventure,Sci-Fi",0
"The Hobbit: The Desolation of Smaug",2013,258366855,7.8,752367,"161","Adventure,Fantasy",0
"Star Trek",2009,257730019,7.9,637817,"127","Action,Adventure,Sci-Fi",0
"I Am Legend",2007,256393010,7.2,875247,"101","Drama,Horror,Sci-Fi",0
"The Blind Side",2009,255959475,7.6,386104,"129","Biography,Drama,Sport",0
"The Hobbit: The Battle of the Five Armies",2014,255119788,7.4,616554,"144","Adventure,Fantasy",0
"The Hangover Part II",2011,254464305,6.5,576469,"102","Comedy",0
"Despicable Me",2010,251513985,7.6,631184,"95","Adventure,Animation,Comedy",0
"Batman",1989,251348343,7.5,431529,"126","Action,Adventure",0
"Night at the Museum",2006,250863268,6.5,408875,"108","Adventure,Comedy,Family",0
"Men in Black",1997,250690539,7.3,662530,"98","Action,Adventure,Comedy",0
"Harry Potter and the Prisoner of Azkaban",2004,249759843,7.9,765422,"142","Adventure,Family,Fantasy",0
"Moana",2016,248757044,7.6,439378,"107","Adventure,Animation,Comedy",0
"Raiders of the Lost Ark",1981,248159971,8.4,1108226,"115","Action,Adventure",0
"Toy Story 2",1999,245852179,7.9,668360,"92","Adventure,Animation,Comedy",0
"Transformers: Age of Extinction",2014,245439076,5.6,349147,"165","Action,Adventure,Comedy",0
"Cars",2006,244082982,7.3,533606,"116","Adventure,Animation,Comedy",0
"Bruce Almighty",2003,242829261,6.8,469075,"101","Comedy,Fantasy",0
"Ghostbusters",1984,242212467,7.8,486374,"105","Action,Comedy,Fantasy",0
"Twister",1996,241721524,6.6,251562,"113","Action,Adventure,Thriller",0
"My Big Fat Greek Wedding",2002,241438208,6.6,151106,"95","Comedy,Drama,Romance",0
"Maleficent",2014,241410378,6.9,423633,"97","Adventure,Drama,Family",0
"Pirates of the Caribbean: On Stranger Tides",2011,241071802,6.6,605954,"136","Action,Adventure,Fantasy",0
"Shrek Forever After",2010,238736787,6.3,245140,"93","Adventure,Animation,Comedy",0
"Fast & Furious 6",2013,238679850,7,439290,"130","Action,Thriller",0
"Brave",2012,237283207,7.1,478002,"93","Action,Adventure,Animation",0
"Beverly Hills Cop",1984,234760478,7.4,231897,"105","Action,Comedy,Crime",0
"X-Men: The Last Stand",2006,234362462,6.6,571426,"104","Action,Adventure,Sci-Fi",0
"War of the Worlds",2005,234280354,6.6,506172,"117","Action,Adventure,Sci-Fi",0
"X-Men: Days of Future Past",2014,233921534,7.9,786795,"132","Action,Adventure,Sci-Fi",0
"Cast Away",2000,233632142,7.8,688212,"143","Adventure,Drama,Romance",0
"The Exorcist",1973,232906145,8.1,497709,"122","Horror",0
"Doctor Strange",2016,232641920,7.5,877294,"115","Action,Adventure,Fantasy",0
"The Lost World: Jurassic Park",1997,229086679,6.6,477335,"129","Action,Adventure,Sci-Fi",0
"Justice League",2017,229024295,6,504050,"120","Action,Adventure,Fantasy",0
"Star Trek Into Darkness",2013,228778661,7.7,510007,"132","Action,Adventure,Sci-Fi",0
"The Martian",2015,228433663,8,1008717,"144","Adventure,Drama,Sci-Fi",1
"Signs",2002,227966634,6.8,413549,"106","Drama,Mystery,Sci-Fi",0
"Hancock",2008,227946274,6.4,538467,"92","Action,Comedy,Drama",0
"The Bourne Ultimatum",2007,227471070,8,683250,"115","Action,Mystery,Thriller",0
"Rush Hour 2",2001,226164286,6.7,259866,"90","Action,Comedy,Crime",0
"The Fate of the Furious",2017,226008385,6.6,273757,"136","Action,Crime,Thriller",0
"Big Hero 6",2014,222527828,7.8,551787,"102","Action,Adventure,Animation",0
"Mission: Impossible - Fallout",2018,220159104,7.7,418953,"147","Action,Adventure,Thriller",0
"National Treasure: Book of Secrets",2007,219964115,6.5,266729,"124","Action,Adventure,Mystery",0
"Alvin and the Chipmunks: The Squeakquel",2009,219614612,4.6,60786,"88","Adventure,Animation,Comedy",0
"Mrs. Doubtfire",1993,219195243,7.1,315244,"125","Comedy,Drama,Family",0
"Beauty and the Beast",1991,218967620,8,504668,"84","Animation,Family,Fantasy",0
"Ted",2012,218815487,6.9,708654,"106","Comedy",0
"King Kong",2005,218080025,7.2,469982,"187","Action,Adventure,Romance",0
"Ghost",1990,217631306,7.1,256119,"126","Drama,Fantasy,Romance",0
"How to Train Your Dragon",2010,217581231,8.1,891291,"98","Action,Adventure,Animation",0
"The Da Vinci Code",2006,217536138,6.7,485280,"149","Mystery,Thriller",1
"Aladdin",1992,217350219,8,499616,"90","Adventure,Animation,Comedy",0
"Alvin and the Chipmunks",2007,217326974,5.3,105115,"92","Adventure,Animation,Comedy",0
"Saving Private Ryan",1998,217049603,8.6,1634155,"169","Drama,War",0
"Ant-Man and the Wasp",2018,216648740,7,493772,"118","Action,Adventure,Comedy",0
"Bohemian Rhapsody",2018,216428042,7.9,643529,"134","Biography,Drama,Music",0
"Madagascar 3: Europe's Most Wanted",2012,216391482,6.8,216862,"93","Adventure,Animation,Comedy",0
"Kung Fu Panda",2008,215434591,7.6,578074,"92","Action,Adventure,Animation",0
"Mission: Impossible II",2000,215409889,6.1,413352,"123","Action,Adventure,Thriller",0
"X2: X-Men United",2003,214949694,7.4,610859,"134","Action,Sci-Fi,Thriller",0
"Solo: A Star Wars Story",2018,213767512,6.9,408112,"135","Action,Adventure,Sci-Fi",0
"Austin Powers in Goldmember",2002,213307889,6.3,234390,"94","Action,Adventure,Comedy",0
"Back to the Future",1985,210609762,8.5,1448765,"116","Adventure,Comedy,Sci-Fi",0
"Fast Five",2011,209837675,7.3,432613,"130","Action,Crime,Thriller",0
"Coco",2017,209726015,8.4,703768,"105","Adventure,Animation,Drama",0
"Coco",2017,209726015,7.3,50,"98","Horror",0
"Mission: Impossible - Ghost Protocol",2011,209397903,7.4,564423,"132","Action,Adventure,Thriller",0
"Wedding Crashers",2005,209255921,7,397469,"119","Comedy,Romance",0
