"primaryTitle","startYear","domestic_gross","averageRating","numVotes","runtimeMinutes","genres","is_book"
"G.I. Joe: The Rise of Cobra",2009,150201498,5.7,221318,"118","Action,Adventure,Sci-Fi",0
"Neighbors",2014,150157400,6.3,345016,"97","Comedy",0
"American Hustle",2013,150117807,7.2,518320,"138","Crime,Drama",0
"Puss in Boots",2011,149260504,6.6,210809,"90","Action,Adventure,Animation",0
"Knocked Up",2007,148768917,6.9,398220,"129","Comedy,Romance",0
"As Good as It Gets",1997,148478011,7.7,338195,"139","Comedy,Drama,Romance",0
"Little Fockers",2010,148438600,5.5,125798,"98","Comedy,Romance",0
"Megamind",2010,148415853,7.3,324854,"95","Action,Adventure,Animation",0
"Hotel Transylvania",2012,148313048,7,312905,"91","Animation,Comedy,Family",0
"Talladega Nights: The Ballad of Ricky Bobby",2006,148213377,6.6,213558,"108","Comedy,Sport",0
"Gran Torino",2008,148095302,8.1,860535,"116","Drama",0
"Lethal Weapon 2",1989,147253986,7.3,201000,"114","Action,Crime,Thriller",0
"War for the Planet of the Apes",2017,146880162,7.4,326109,"140","Action,Adventure,Drama",0
"X-Men: First Class",2011,146408305,7.7,762950,"131","Action,Sci-Fi",0
"Paul Blart: Mall Cop",2009,146336178,5.3,124930,"91","Action,Comedy,Crime",0
"True Lies",1994,146282411,7.3,301250,"141","Action,Comedy,Thriller",0
"Lilo & Stitch",2002,145794338,7.4,243208,"85","Adventure,Animation,Comedy",0
"The Meg",2018,145443742,5.7,227483,"113","Action,Adventure,Horror",0
"American Pie 2",2001,145103595,6.5,286497,"108","Comedy",0
"The Santa Clause",1994,144833357,6.6,147481,"97","Comedy,Drama,Family",0
"I, Robot",2004,144801023,7.1,613662,"115","Action,Mystery,Sci-Fi",0
"Lethal Weapon 3",1992,144731527,6.7,188301,"118","Action,Crime,Thriller",0
"The Fast and the Furious",2001,144533925,6.8,456278,"106","Action,Crime,Thriller",0
"Mamma Mia!",2008,144169664,6.5,304239,"108","Comedy,Musical,Romance",0
"Doctor Dolittle",1998,144156605,5.4,107640,"85","Comedy,Family,Fantasy",0
"Rio",2011,143619809,6.9,272590,"96","Adventure,Animation,Comedy",0
"Kung Fu Panda 3",2016,143528619,7.1,217344,"95","Action,Adventure,Animation",0
"Juno",2007,143495265,7.4,571862,"96","Comedy,Drama",0
"The Smurfs",2011,142614158,5.4,104290,"103","Adventure,Animation,Comedy",0
"The Jungle Book",1967,141843612,7.6,212902,"78","Adventure,Animation,Comedy",0
"The Chronicles of Narnia: Prince Caspian",2008,141621490,6.5,239060,"150","Action,Adventure,Family",0
"National Lampoon's Animal House",1978,141600000,7.4,135917,"109","Comedy",0
"Pocahontas",1995,141579773,6.7,217228,"81","Adventure,Animation,Drama",0
"Pocahontas",1995,141579773,2.2,95,"63","Animation",0
"A Few Good Men",1992,141340178,7.7,316329,"138","Drama,Thriller",0
"Slumdog Millionaire",2008,141319928,8,909283,"120","Crime,Drama,Romance",0
"Rush Hour",1998,141186864,7.1,327958,"98","Action,Comedy,Crime",0
"The Blair Witch Project",1999,140539099,6.5,315963,"81","Horror,Mystery",0
"Deep Impact",1998,140464664,6.3,204938,"120","Action,Drama,Sci-Fi",0
"Shazam!",2019,140371656,7,412620,"132","Action,Adventure,Comedy",0
"Rush Hour 3",2007,140125968,6.3,199054,"91","Action,Comedy,Crime",0
"Look Who's Talking",1989,140088813,6,90948,"93","Comedy,Romance",0
"Stuart Little",1999,140035367,6,160118,"84","Adventure,Comedy,Family",0
"Taken 2",2012,139854287,6.2,336586,"92","Action,Crime,Thriller",0
"Sister Act",1992,139605150,6.6,118201,"100","Comedy,Family,Music",0
"The Matrix Revolutions",2003,139313948,6.7,574256,"129","Action,Sci-Fi",0
"The Santa Clause 2",2002,139236327,5.8,69724,"104","Comedy,Family,Fantasy",0
"The King's Speech",2010,138797449,8,732266,"118","Biography,Drama,History",0
"Cheaper by the Dozen",2003,138614544,5.9,116428,"98","Comedy,Family",0
"Bad Boys II",2003,138608444,6.6,287945,"147","Action,Comedy,Crime",0
"Platoon",1986,138530565,8.1,471927,"120","Drama,War",0
"21 Jump Street",2012,138447667,7.2,644702,"109","Action,Comedy,Crime",0
"Good Will Hunting",1997,138433435,8.4,1212423,"126","Drama,Romance",0
"Dinosaur",2000,137748063,6.4,72738,"82","Adventure,Animation,Drama",0
"Ready Player One",2018,137690172,7.4,540397,"140","Action,Adventure,Sci-Fi",1
"The Conjuring",2013,137400141,7.5,620431,"112","Horror,Mystery,Thriller",0
"Click",2006,137355633,6.4,386475,"107","Comedy,Drama,Fantasy",0
"The Green Mile",1999,136801374,8.6,1557154,"189","Crime,Drama,Fantasy",0
"Ransom",1996,136492681,6.7,143926,"121","Action,Crime,Drama",0
"Godzilla",1998,136314294,5.5,212960,"139","Action,Sci-Fi,Thriller",0
"Argo",2012,136025503,7.7,665648,"120","Biography,Drama,History",0
"Anger Management",2003,135645823,6.3,241710,"106","Comedy",0
"Chicken Little",2005,135386665,5.7,108952,"81","Adventure,Animation,Comedy",0
"Teenage Mutant Ninja Turtles",1990,135265915,6.8,112377,"93","Action,Adventure,Comedy",0
"Close Encounters of the Third Kind",1977,135189114,7.6,232683,"138","Drama,Sci-Fi",0
"Patch Adams",1998,135026902,6.9,129782,"115","Biography,Comedy,Drama",0
"The Godfather",1972,134966411,9.2,2220339,"175","Crime,Drama",0
"Ride Along",2014,134938200,6.1,129300,"99","Action,Comedy,Crime",0
"The Incredible Hulk",2008,134806913,6.6,563351,"112","Action,Adventure,Sci-Fi",0
"Live Free or Die Hard",2007,134529403,7.1,435499,"128","Action,Thriller",0
"Wanted",2008,134508551,6.7,428034,"110","Action,Crime,Thriller",0
"Identity Thief",2013,134506920,5.7,148622,"111","Comedy,Crime,Drama",0
"Superman",1978,134451603,7.4,207286,"143","Action,Adventure,Sci-Fi",0
"The Rock",1996,134069511,7.4,379595,"136","Action,Adventure,Thriller",0
"Mission: Impossible III",2006,134029801,6.9,424247,"126","Action,Adventure,Thriller",0
"Grown Ups 2",2013,133668525,5.4,190450,"101","Comedy",0
"Troy",2004,133378256,7.3,614160,"163","Action,Adventure,Drama",0
"Angels & Demons",2009,133375846,6.7,325477,"138","Mystery,Thriller",0
"Alvin and the Chipmunks: Chipwrecked",2011,133110742,4.4,44581,"87","Adventure,Animation,Comedy",0
"Bringing Down the House",2003,132716677,5.6,41190,"105","Comedy",0
"The Wolverine",2013,132556852,6.7,523102,"126","Action,Sci-Fi",0
"Wonder",2017,132422809,7.9,196275,"113","Drama,Family",0
"The Departed",2006,132384315,8.5,1550208,"151","Crime,Drama,Thriller",0
"Hulk",2003,132177234,5.7,292268,"138","Action,Sci-Fi",0
"Silver Linings Playbook",2012,132092958,7.7,772587,"122","Comedy,Drama,Romance",0
"Minority Report",2002,132072926,7.6,620250,"145","Action,Crime,Mystery",0
"Fantastic Four: Rise of the Silver Surfer",2007,131921738,5.6,298632,"92","Action,Adventure,Fantasy",0
"Fantastic Four: Rise of the Silver Surfer",2007,131921738,6,7,"\N","\N",0
"The Last Airbender",2010,131772187,3.9,181009,"103","Action,Adventure,Family",0
"Rio 2",2014,131538435,6.3,111090,"101","Adventure,Animation,Comedy",0
"Lara Croft: Tomb Raider",2001,131168070,5.8,230500,"100","Action,Adventure,Fantasy",0
"The Silence of the Lambs",1991,130742922,8.6,1718071,"118","Crime,Drama,Horror",0
"Honey, I Shrunk the Kids",1989,130724172,6.4,176839,"93","Adventure,Comedy,Family",0
"The Flintstones",1994,130531208,5.1,91895,"91","Comedy,Family,Fantasy",0
"Lethal Weapon 4",1998,130444603,6.6,180405,"127","Action,Crime,Thriller",0
"Get Smart",2008,130319208,6.5,237411,"110","Action,Adventure,Comedy",0
"The Divergent Series: Insurgent",2015,130179072,6.2,271000,"119","Action,Adventure,Romance",0
"The Peanuts Movie",2015,130178411,7,53365,"88","Adventure,Animation,Comedy",0
"Transformers: The Last Knight",2017,130168683,5.2,185621,"154","Action,Adventure,Comedy",0
"American Gangster",2007,130164645,7.8,485128,"157","Biography,Crime,Drama",0
"American Beauty",1999,130096601,8.3,1277974,"122","Drama",0
"An Officer and a Gentleman",1982,129795554,7.1,67325,"124","Drama,Romance",0
"The Ring",2002,129128133,7.1,401572,"115","Horror,Mystery",0
"Robots",2005,128200012,6.4,174579,"91","Adventure,Animation,Comedy",0
"Coming to America",1988,128152301,7.1,239688,"117","Comedy,Romance",0
"Crouching Tiger, Hidden Dragon",2000,128078872,7.9,294077,"120","Action,Adventure,Drama",0
"Shutter Island",2010,128012934,8.2,1640347,"138","Drama,Mystery,Thriller",0
"Into the Woods",2014,128002372,5.9,153576,"125","Adventure,Comedy,Drama",0
"Rocky IV",1985,127873716,6.9,244472,"91","Drama,Sport",0
"Enchanted",2007,127807262,7.1,229231,"107","Adventure,Animation,Comedy",0
"The Curious Case of Benjamin Button",2008,127509326,7.8,743666,"166","Drama,Fantasy,Romance",0
"Central Intelligence",2016,127440871,6.3,238094,"107","Action,Comedy,Crime",0
"Anchorman 2: The Legend Continues",2013,127352707,6.3,201808,"119","Comedy",0
"Sweet Home Alabama",2002,127223418,6.2,134436,"108","Comedy,Romance",0
"Bumblebee",2018,127195589,6.7,207655,"114","Action,Adventure,Sci-Fi",0
"Dumb and Dumber",1994,127175374,7.3,443054,"107","Comedy",0
"2 Fast 2 Furious",2003,127154901,6,323402,"107","Action,Crime,Thriller",0
"My Best Friend's Wedding",1997,127120029,6.4,166399,"105","Comedy,Drama,Romance",0
"Super 8",2011,127004179,7,380448,"112","Action,Sci-Fi,Thriller",0
"The World Is Not Enough",1999,126943684,6.4,220326,"128","Action,Adventure,Thriller",0
"Sleepless in Seattle",1993,126808165,6.8,206843,"105","Comedy,Drama,Romance",0
"Smokey and the Bandit",1977,126737428,7,62380,"96","Action,Adventure,Comedy",0
