row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url,book_avg_rating,book_ratings_count,book_reviews_count,book_page_count,book_series_indicator,book_description,book_description_length,goodreads_match_title,goodreads_match_score,movie_release_month,runtime_minutes,mpaa_rating,distributor,movie_genre_raw,imdb_vote_count,imdb_rating,top_500_box_office
11,Allan Quatermain,Sir H. Rider Haggard,1887,Allan Quatermain and the Lost City of Gold,1987,1985_1989,Drama_Literary,medium,"Allan Quatermain (1887), Sir H. Rider Haggard",Allan Quatermain and the Lost City of Gold (1987),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",3.89,2465.0,120.0,,1.0,"Allan Quartermain is a sequel to the famous novel King Solomon's Mines. Quatermain has lost his only son and longs to get back into the wilderness. Having persuaded Sir Henry Curtis, Captain John Good, and the Zulu chief Umbopa to accompany him, they set out from the coast of east Africa, this time in search of a white race reputed to live north of Mount Kenya. They survive fierce encounters with Masai warriors, undergo a terrifying subterranean journey, and discover a lost civilization before being caught up in a passionate love-triangle that engulfs the country in a ferocious civil war. This novel is based on author's own experience in the African continent.
Excerpt:
'I have just buried my boy, my poor handsome boy of whom I was so proud, and my heart is broken. It is very hard having only one son to lose him thus, but God's will be done. Who am I that I should complain? The great wheel of Fate rolls on like a Juggernaut, and crushes us all in turn, some soon, some late it does not matter when, in the end, it crushes us all. We do not prostrate ourselves before it like the poor Indians; we fly hither and thither we cry for mercy; but it is of no use, the black Fate thunders on and in its season reduces us to powder. 'Poor Harry to go so soon! just when his life was opening to him. He was doing so well at the hospital, he had passed his last examination with honours, and I was proud of them, much prouder than he was, I think. And then he must needs go to that smallpox hospital. He wrote to me that he was not afraid of smallpox and wanted to gain the experience; and now the disease has killed him, and I, old and grey and withered, am left to mourn over him, without a chick or child to comfort me. I might have saved him, too-I have money enough for both of us, and much more than enough-King Solomon's Mines provided me with that; but I said, ""No, let the boy earn his living, let him labour that he may enjoy rest."" But the rest has come to him before the labour. Oh, my boy, my boy!",2013.0,Allan Quatermain,100,12.0,99.0,PG,The Cannon Group,"Action,Adventure,Comedy",11430.0,4.6,0
12,A Captive in the Land,James Aldridge,1962,A Captive in the Land,1990,1990_1994,Drama_Literary,medium,"A Captive in the Land (1962), James Aldridge",A Captive in the Land (1990),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",,,,,,,,,0,1.0,96.0,PG,Gloria Film,Drama,81.0,5.1,0
13,A Simple Plan,Scott Smith,1993,A Simple Plan,1998,1995_1999,Drama_Literary,medium,"A Simple Plan (1993), Scott Smith",A Simple Plan (1998),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),3.91,265.0,49.0,432.0,0.0,"When two brothers and a friend find four million dollars in the cockpit of a downed plane buried in the snow, their plan seems so simple. But from the moment it is set into motion, Hank Mitchell's well-ordered life spins out of control, sending him on a downward spiral of deceit, treachery, and blackmail.",306.0,A Simple Plan,100,12.0,121.0,R,Paramount Pictures | Netflix,"Crime,Drama,Thriller",82976.0,7.5,0
14,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Black Knight,2001,2000_2004,Drama_Literary,medium,"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",Black Knight (2001),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",3.76,820.0,24.0,,0.0,"Hank Morgan, a 19th century Hartfordian, awakens to find himself inexplicably transported to Arthurian England in 528.
The story begins in a 1st person narrative in Warwick Castle, where a man details his recollection of a tale told him by a stranger who's personified as a Knight thru his language & familiarity with armor.
After a brief tale of Launcelot slaying two giants in 3rd-person narrative, Hank Morgan enters &, given whiskey, is persuaded to tell his story. Described thru 1st-person narrative as a man familiar with firearms & machinery, he'd become a superintendent in firearms manufacture. He describes the beginning of his tale by illustrating details of a disagreement with subordinates, where he sustained a head injury caused by a man named Hercules. Passing out, he describes waking up beneath an oak in rural Camelot where a Knight catches him trespassing, & after establishing rapport, leads him to the castle.
Hank is ridiculed for his appearance & sentenced to burn at the stake. Luckily, this coincides with the 528 solar eclipse, which he'd learned about in his own time. Recalling this, he convinces everyone of his power by making it seem he causes the eclipse at the moment he's to be burned. He's liberated, given the position of principal royal minister & treated with awe. Celebrity brings him a title: ""The Boss.""
Hank learns about medieval practices & superstitions. He outdoes fake sorcerers & miracle-working clergy. Merlin becomes jealous. Despite being a court officer, Hank's willing to go among the people to promote new economic policies as well as democratic & modern principles. Arthur chooses to join him on an excursion during which he exposes himself to smallpox in order to help a peasant. Despite this noble act, he's unwilling to abandon medieval ways. He eventually causes the arrest of the incognito Hank & himself by being unable to act like a commoner. Hank & a group of bicycle-riding knights rescue them.
Hank industrializes the country behind the back of the ruling class. He creates schools which teach modern ideas & English, removing new generations from medieval concepts. He constructs factories producing modern tools & weapons. He marries. They have a daughter. While vacationing with them in France, he learns Arthur has died fighting his nephew Mordred. Hank establishes a republic, declares himself ruler & the people revolt. Merlin finally uses a spell to put him asleep to return to his own time.",2464.0,A Connecticut Yankee in King Arthur's Court,100,11.0,95.0,PG-13,20th Century Studios | Netflix,"Adventure,Comedy,Fantasy",45862.0,5.0,0
15,A Stir of Echoes,Richard Matheson,1958,Stir of Echoes: The Homecoming,2007,2005_2009,Drama_Literary,medium,"A Stir of Echoes (1958), Richard Matheson",Stir of Echoes: The Homecoming (2007),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),3.89,8925.0,376.0,,0.0,"The novel that inspired the movie from Artisan Entertainment concerns an ordinary suburban husband who is able to read the minds of his neighbors and learn their sordid secrets. He is also haunted by the apparition of a mysterious woman, which forces him to uncover the truth behind a long-forgotten tragedy. Movie to star Kevin Bacon.",335.0,A Stir of Echoes,100,8.0,,R,,,,,0
16,A Very Private Gentleman,Martin Booth,1990,The American,2010,2010_2014,Drama_Literary,medium,"A Very Private Gentleman (1990), Martin Booth",The American (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),3.61,898.0,129.0,,0.0,"SOON TO BE A MAJOR MOTION PICTURE, THE AMERICAN, STARRING GEORGE CLOONEY AND DIRECTED BY ANTON CORBIJN
The locals in the Italian village where he lives call him Signor Farfalla--Mr. Butterfly--for he appears to be a discreet gentleman who paints rare butterflies. But as inconspicuous as Farfalla tries to make himself, his real profession is deadly, unbeknownst to the sometime brothel worker, Clara, with whom he sleeps.
Of a certain age, and as his feelings for Clara intensify, Farfalla has resolved to make his next job his last--all the while sensing a treacherous circle closing in on him.",596.0,A Very Private Gentleman,100,8.0,105.0,R,Focus Features | Netflix,"Crime,Drama,Thriller",106437.0,6.3,0
17,A Wrinkle in Time,Madeleine L'Engle,1962,A Wrinkle in Time,2018,2015_2019,Drama_Literary,medium,"A Wrinkle in Time (1962), Madeleine L'Engle",A Wrinkle in Time (2018),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),4.04,321.0,26.0,,1.0,"When Charles Wallace Murry goes searching through a 'wrinkle in time' for his lost father, he finds himself on an evil planet where all life is enslaved by a huge pulsating brain known as 'It'. How Charles, his sister Meg and friend Calvin find and free his father makes this a very special and exciting mixture of fantasy and science fiction, which all the way through is dominated by the funny and mysterious trio of guardian angels known as Mrs Whatsit, Mrs Who and Mrs Which.",479.0,A Wrinkle in Time,100,3.0,109.0,PG,Walt Disney Studios Motion Pictures | Disney+,"Adventure,Drama,Family",49759.0,4.3,0
18,Anime Supremacy!,Mizuki Tsujimura,2014,Anime Supremacy!,2022,2020_2024,Drama_Literary,medium,"Anime Supremacy! (ハケンアニメ!, Haken Anime!) (2014), Mizuki Tsujimura",Anime Supremacy! (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",,,,,,,,,0,5.0,129.0,,,"Comedy,Drama",587.0,6.7,0
19,A Stranger Is Watching,Mary Higgins Clark,1977,A Stranger Is Watching,1982,1980_1984,Drama_Literary,medium,"A Stranger Is Watching (1977), Mary Higgins Clark",A Stranger Is Watching (1982),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),3.91,579.0,30.0,283.0,0.0,"Ronald Thompson knows he never killed Nina Peterson... yet in two days the state of Connecticut will take his life, having found him guilty via due process of law. But Thompson's death will not stop the pain and anger of Nina's husband, Steve. Thompson's death will not still the fears of Nna's six-year-old son, Neil, witness to his mother's brutal slaying. Not even the love and friendship of Sharon Martin, a journalist who is slowly becoming a part of their world, will ever erase their bitter memories. Only time, perhaps, will heal their wounds. But in the shadows a stranger waits, a cunning psychopath who has killed before, who has unfinished business at the Peterson home...",684.0,A Stranger Is Watching,100,1.0,92.0,R,United Artists,"Crime,Horror,Thriller",1005.0,5.4,0
20,Beaches,Iris Rainer Dart,1985,Beaches,1988,1985_1989,Drama_Literary,medium,"Beaches (1985), Iris Rainer Dart",Beaches (1988),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",4.14,76.0,10.0,336.0,0.0,"Loudmouthed, redheaded Cee Cee Bloom has her sights set on Hollywood. Bertie White, quiet and conservative, dreams of getting married and having children. In 1951, their childhood worlds collide in Atlantic City. Keeping in touch as pen pals, they reunite over the years ... always near the ocean.
Powerful and moving, this novel follows Cee Cee and Bertie's extraordinary friendship over the course of thirty years as they transform from adolescents into adults. A bestselling novel that became a hugely successful film, Beachesis funny, heartbreaking, and a tale that should be a part of every woman's library.",612.0,Beaches,100,12.0,123.0,PG-13,Netflix | Walt Disney Studios Motion Pictures,"Comedy,Drama,Music",30743.0,7.0,0
21,A Midnight Clear,William Wharton,1982,A Midnight Clear,1992,1990_1994,Drama_Literary,medium,"A Midnight Clear (1982), William Wharton",A Midnight Clear (1992),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),4.19,17.0,1.0,256.0,0.0,,0.0,A Midnight Clear,100,4.0,108.0,,Sony Pictures Home Entertainment | Netflix,"Drama,War",10593.0,7.1,0
